id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
147875827,2023-02-01,2023-02-01 12:43:21 UTC,Meleagris gallopavo,Wild Turkey,906
147988032,2023-02-03,2023-02-03 18:56:14 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
148321709,2023-02-08,2023-02-08 15:39:21 UTC,Zenaida macroura,Mourning Dove,3454
148322337,2023-02-08,2023-02-08 15:51:51 UTC,Passer domesticus,House Sparrow,13858
148328444,2023-02-08,2023-02-08 17:54:00 UTC,Sturnus vulgaris,European Starling,14850
148333633,2023-02-08,2023-02-08 19:17:33 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
148337656,2023-02-08,2023-02-08 20:29:45 UTC,Meleagris gallopavo,Wild Turkey,906
148358355,2023-02-08,2023-02-08 13:32:28 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
148361673,2023-02-07,2023-02-07 21:50:30 UTC,Zenaida macroura,Mourning Dove,3454
148411021,2023-02-09,2023-02-09 22:37:49 UTC,Columba livia,Rock Pigeon,3017
148445330,2023-02-10,2023-02-10 13:05:28 UTC,Fulica americana,American Coot,473
148469709,2023-02-10,2023-02-10 20:14:00 UTC,Aythya americana,Redhead,7056
148469733,2023-02-10,2023-02-10 20:14:00 UTC,Melospiza melodia,Song Sparrow,9100
148483245,2023-02-10,2023-02-10 18:50:18 UTC,Cyanocitta cristata,Blue Jay,8229
148483249,2023-02-10,2023-02-10 18:33:43 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148483252,2023-02-10,2023-02-10 18:28:44 UTC,Passer domesticus,House Sparrow,13858
148483257,2023-02-10,2023-02-10 18:18:41 UTC,Ardea herodias,Great Blue Heron,4956
148483263,2023-02-10,2023-02-10 12:52:13 UTC,Zenaida macroura,Mourning Dove,3454
148483379,2023-02-10,2023-02-10 12:47:57 UTC,Melospiza melodia,Song Sparrow,9100
148483383,2023-02-10,2023-02-10 12:40:33 UTC,Dryobates pubescens,Downy Woodpecker,792988
148483384,2023-02-10,2023-02-10 12:34:47 UTC,Agelaius phoeniceus,Red-winged Blackbird,9744
